year,month,lat,lng,weight
0,8,-7,48,0.00047
0,8,-7,49,0.00028
0,8,-7,51,0.00026
0,8,-7,52,0.00067
0,8,-7,53,0.00029
0,8,-7,54,0.00030
0,8,-7,55,0.00135
0,8,-7,56,0.00839
0,8,-7,57,0.00281
0,8,-7,58,0.00082
0,8,-7,66,0.00027
0,8,-7,67,0.00061
0,8,-7,68,0.00026
0,8,-7,71,0.00568
0,8,-7,72,0.00210
0,8,-7,73,0.00128
0,8,-7,74,0.00034
0,8,-7,75,0.00040
0,8,-7,76,0.00067
0,8,-7,81,0.00041
0,8,-7,82,0.00084
0,8,-7,83,0.00214
0,8,-7,84,0.00204
0,8,-7,85,0.00066
0,8,-7,88,0.00195
0,8,-7,89,0.00278
0,8,-7,90,0.00081
0,8,-7,91,0.00147
0,8,-7,92,0.00300
0,8,-7,93,0.00361
0,8,-7,95,0.00066
0,8,-7,96,0.00132
0,8,-7,97,0.00107
0,8,-7,98,0.00067
0,8,-7,99,0.00161
0,8,-7,100,0.00093
0,8,-7,101,0.00077
0,8,-6,43,0.00025
0,8,-6,44,0.00054
0,8,-6,45,0.00078
0,8,-6,46,0.00090
0,8,-6,47,0.00154
0,8,-6,48,0.00161
0,8,-6,49,0.00053
0,8,-6,50,0.00131
0,8,-6,51,0.00088
0,8,-6,52,0.01040
0,8,-6,53,0.01209
0,8,-6,54,0.00234
0,8,-6,55,0.00030
0,8,-6,56,0.00135
0,8,-6,68,0.00098
0,8,-6,69,0.00157
0,8,-6,70,0.00145
0,8,-6,75,0.00025
0,8,-6,76,0.00070
0,8,-6,79,0.00066
0,8,-6,80,0.00034
0,8,-6,81,0.00081
0,8,-6,82,0.00142
0,8,-6,83,0.00179
0,8,-6,85,0.00028
0,8,-6,86,0.00155
0,8,-6,87,0.00026
0,8,-6,88,0.00050
0,8,-6,89,0.00218
0,8,-6,90,0.00154
0,8,-6,91,0.00174
0,8,-6,92,0.00339
0,8,-6,93,0.00296
0,8,-6,94,0.00042
0,8,-6,95,0.00070
0,8,-6,96,0.00092
0,8,-6,98,0.00130
0,8,-6,99,0.00105
0,8,-5,44,0.00050
0,8,-5,45,0.00067
0,8,-5,46,0.00088
0,8,-5,47,0.00065
0,8,-5,48,0.00078
0,8,-5,49,0.00069
0,8,-5,50,0.00076
0,8,-5,52,0.00030
0,8,-5,54,0.00415
0,8,-5,55,0.00117
0,8,-5,57,0.00086
0,8,-5,62,0.00074
0,8,-5,63,0.00104
0,8,-5,64,0.00154
0,8,-5,65,0.00082
0,8,-5,66,0.00047
0,8,-5,69,0.02312
0,8,-5,70,0.00383
0,8,-5,71,0.00025
0,8,-5,72,0.00155
0,8,-5,73,0.00183
0,8,-5,74,0.00039
0,8,-5,75,0.00039
